InvoiceMonth,MeatIndustry
2017-03,43
2017-04,41
2017-05,54
2017-06,51
2017-07,46
2017-08,60
2017-09,50
2017-10,47
2017-11,59
2017-12,50
2018-01,48
2018-02,42
