InvoiceMonth,MeatIndustry
2017-11,59
2017-12,50
2018-01,48
2018-02,42
2018-03,35
2018-04,37
2018-05,39
2018-06,30
2018-07,29
2018-08,35
2018-09,31
2018-10,33
